2025-10-14 09:41:28 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-10-14 09:41:28 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251014.log
2025-10-14 09:41:28 | INFO     | ai_agent.app.services.db       | <module>            :22   | Initializing MongoDB connection to database: AI_agent_db
2025-10-14 09:41:28 | INFO     | ai_agent.app.services.db       | <module>            :28   | MongoDB client initialized successfully
2025-10-14 09:41:29 | DEBUG    | asyncio                        | __init__            :633  | Using proactor: IocpProactor
2025-10-14 09:42:25 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-10-14 09:42:25 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251014.log
2025-10-14 09:42:25 | INFO     | ai_agent.app.services.db       | <module>            :22   | Initializing MongoDB connection to database: AI_agent_db
2025-10-14 09:42:25 | INFO     | ai_agent.app.services.db       | <module>            :28   | MongoDB client initialized successfully
2025-10-14 09:42:27 | DEBUG    | urllib3.connectionpool         | _new_conn           :1049 | Starting new HTTPS connection (1): packages.unstructured.io:443
2025-10-14 09:42:28 | DEBUG    | urllib3.connectionpool         | _make_request       :544  | https://packages.unstructured.io:443 "GET /python-telemetry?version=0.18.15&platform=Windows&python3.13&arch=AMD64&gpu=True&dev=false HTTP/1.1" 200 596
2025-10-14 10:01:04 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-10-14 10:01:04 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251014.log
2025-10-14 10:01:04 | INFO     | ai_agent.app.services.db       | <module>            :22   | Initializing MongoDB connection to database: AI_agent_db
2025-10-14 10:01:04 | INFO     | ai_agent.app.services.db       | <module>            :28   | MongoDB client initialized successfully
2025-10-14 10:01:04 | DEBUG    | asyncio                        | __init__            :633  | Using proactor: IocpProactor
2025-10-14 10:01:04 | DEBUG    | asyncio                        | __init__            :633  | Using proactor: IocpProactor
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting topology monitoring", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "previousDescription": "<TopologyDescription id: 68ee1f602547477e5aedf345, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 68ee1f602547477e5aedf345, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68ee1f602547477e5aedf345"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-14 10:01:42 | DEBUG    | pymongo.serverSelection        | _debug_log          :108  | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x00000280757396C0>", "operation": "delete", "topologyDescription": "<TopologyDescription id: 68ee1f602547477e5aedf345, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "68ee1f602547477e5aedf345"}}
2025-10-14 10:01:42 | DEBUG    | pymongo.serverSelection        | _debug_log          :108  | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x00000280757396C0>", "operation": "delete", "topologyDescription": "<TopologyDescription id: 68ee1f602547477e5aedf345, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "68ee1f602547477e5aedf345"}, "remainingTimeMS": 29999}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "driverConnectionId": 1, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-14 10:01:42 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68ee1f602547477e5aedf345"}, "driverConnectionId": 1, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false}
