2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "previousDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.1233975928499949>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.20806008039964297>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.16576185997266968>]>", "newDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.1233975928499949>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.16576185997266968>]>"}
2025-10-13 16:52:35 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool cleared", "clientId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "previousDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.1233975928499949>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.16576185997266968>]>", "newDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.16576185997266968>]>"}
2025-10-13 16:52:35 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool cleared", "clientId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "previousDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetWithPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSPrimary, rtt: 0.16576185997266968>]>", "newDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
2025-10-13 16:52:35 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool cleared", "clientId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-13 16:52:35 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection closed", "clientId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017, "driverConnectionId": 3, "reason": "Connection pool was stale", "error": "stale"}
2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat failed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 30.670999985886738, "failure": "\"AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [Errno 11001] getaddrinfo failed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat failed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 37.67449999577366, "failure": "\"AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [Errno 11001] getaddrinfo failed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')\""}
2025-10-13 16:52:35 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68ed13d766813f6831c3846f"}, "previousDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>", "newDescription": "<TopologyDescription id: 68ed13d766813f6831c3846f, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017: [Errno 11001] getaddrinfo failed (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017: [WinError 10054] An existing connection was forcibly closed by the remote host (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>"}
