2025-10-20 09:09:25 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-10-20 09:09:25 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251020.log
2025-10-20 09:09:25 | INFO     | ai_agent.app.services.db       | <module>            :22   | Initializing MongoDB connection to database: AI_agent_db
2025-10-20 09:09:25 | INFO     | ai_agent.app.services.db       | <module>            :28   | MongoDB client initialized successfully
2025-10-20 09:09:27 | DEBUG    | urllib3.connectionpool         | _new_conn           :1049 | Starting new HTTPS connection (1): packages.unstructured.io:443
2025-10-20 09:09:28 | DEBUG    | urllib3.connectionpool         | _make_request       :544  | https://packages.unstructured.io:443 "GET /python-telemetry?version=0.18.15&platform=Windows&python3.13&arch=AMD64&gpu=True&dev=false HTTP/1.1" 200 596
2025-10-20 09:09:31 | INFO     | ai_agent.logging               | setup_logging       :124  | Logging configured - Level: DEBUG, Console: True, File: True
2025-10-20 09:09:31 | INFO     | ai_agent.logging               | setup_logging       :125  | Log file: logs\ai_agent_20251020.log
2025-10-20 09:09:31 | INFO     | ai_agent.app.main              | <module>            :81   | AI Agent API initialized successfully
2025-10-20 09:09:31 | INFO     | uvicorn.error                  | _serve              :84   | Started server process [32196]
2025-10-20 09:09:31 | INFO     | uvicorn.error                  | startup             :48   | Waiting for application startup.
2025-10-20 09:09:31 | INFO     | ai_agent.app.main              | lifespan            :23   | AI Agent API starting up...
2025-10-20 09:09:31 | INFO     | ai_agent.app.main              | lifespan            :24   | Initializing database indexes...
2025-10-20 09:09:31 | INFO     | ai_agent.app.services.db       | init_indexes        :43   | Starting database index initialization
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting topology monitoring", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "previousDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: Unknown, servers: []>", "newDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>"}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Starting server monitoring", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool created", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:32 | DEBUG    | pymongo.serverSelection        | _debug_log          :108  | {"message": "Server selection started", "selector": "<function writable_server_selector at 0x0000027D5CBAA200>", "operation": "dropIndexes", "topologyDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}}
2025-10-20 09:09:32 | DEBUG    | pymongo.serverSelection        | _debug_log          :108  | {"message": "Waiting for suitable server to become available", "selector": "<function writable_server_selector at 0x0000027D5CBAA200>", "operation": "dropIndexes", "topologyDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "remainingTimeMS": 29999}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 09:09:32 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverHost": "ac-mirk0js-shard-00-00.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false}
2025-10-20 09:09:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverConnectionId": 87850, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 276.2271999963559, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"68efa9b37d4a3fd557d837e9\"}, \"counter\": 3}, \"hosts\": [\"ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017\", \"ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017\", \"ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017\"], \"setName\": \"atlas-euqqg2-shard-0\", \"setVersion\": 1, \"secondary\": true, \"primary\": \"ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017\", \"tags\": {\"availabilityZone\": \"euw3-az3\", \"diskState\": \"READY\", \"nodeType\": \"ELECTABLE\", \"workloadType\": \"OPERATIONAL\", \"provider\": \"AWS\", \"region\": \"EU_WEST_3\"}, \"me\": \"ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017\", \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760951369, \"i\": 1}}, \"t\": 38}, \"lastWriteDate\": {\"$date\": \"2025-10-20T09:09:29Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760951369, \"i\": 1}}, \"t\": 38}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T09:09:29Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\": 48000000, \"maxWriteBatchSize\": 100000, \"localTime\"..."}
2025-10-20 09:09:33 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool ready", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017}
2025-10-20 09:09:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Topology description changed", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "previousDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "newDescription": "<TopologyDescription id: 68f5fc457578c96c1c0cfda0, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-mirk0js-shard-00-00.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-01.qcza2iy.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-mirk0js-shard-00-02.qcza2iy.mongodb.net', 27017) server_type: RSSecondary, rtt: 0.2762271999963559>]>"}
2025-10-20 09:09:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat started", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverConnectionId": 87850, "serverHost": "ac-mirk0js-shard-00-02.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": true}
2025-10-20 09:09:33 | DEBUG    | pymongo.topology               | _debug_log          :108  | {"message": "Server heartbeat succeeded", "topologyId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "driverConnectionId": 1, "serverConnectionId": 94434, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017, "awaited": false, "durationMS": 287.0435999939218, "reply": "{\"helloOk\": true, \"topologyVersion\": {\"processId\": {\"$oid\": \"68efa983c619c9bc87452dfd\"}, \"counter\": 6}, \"hosts\": [\"ac-mirk0js-shard-00-00.qcza2iy.mongodb.net:27017\", \"ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017\", \"ac-mirk0js-shard-00-02.qcza2iy.mongodb.net:27017\"], \"setName\": \"atlas-euqqg2-shard-0\", \"setVersion\": 1, \"ismaster\": true, \"primary\": \"ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017\", \"tags\": {\"nodeType\": \"ELECTABLE\", \"workloadType\": \"OPERATIONAL\", \"availabilityZone\": \"euw3-az2\", \"diskState\": \"READY\", \"provider\": \"AWS\", \"region\": \"EU_WEST_3\"}, \"me\": \"ac-mirk0js-shard-00-01.qcza2iy.mongodb.net:27017\", \"electionId\": {\"$oid\": \"7fffffff0000000000000026\"}, \"lastWrite\": {\"opTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760951369, \"i\": 1}}, \"t\": 38}, \"lastWriteDate\": {\"$date\": \"2025-10-20T09:09:29Z\"}, \"majorityOpTime\": {\"ts\": {\"$timestamp\": {\"t\": 1760951369, \"i\": 1}}, \"t\": 38}, \"majorityWriteDate\": {\"$date\": \"2025-10-20T09:09:29Z\"}}, \"maxBsonObjectSize\": 16777216, \"maxMessageSizeBytes\":..."}
2025-10-20 09:09:33 | DEBUG    | pymongo.connection             | _debug_log          :108  | {"message": "Connection pool ready", "clientId": {"$oid": "68f5fc457578c96c1c0cfda0"}, "serverHost": "ac-mirk0js-shard-00-01.qcza2iy.mongodb.net", "serverPort": 27017}
